Index,Date,Open,High,Low,Close,Adj.Close,Volume,CloseUSD
HSI,1/2/2020,28249.36914,28543.51953,28245.9707,28543.51953,28543.51953,1262732800,3710.657539
HSI,1/3/2020,28828.35938,28883.30078,28428.16992,28451.5,28451.5,1797904800,3698.695
HSI,1/6/2020,28326.5,28367.86914,28054.28906,28226.18945,28226.18945,1793426600,3669.404629
HSI,1/7/2020,28352.67969,28473.08008,28264.07031,28322.06055,28322.06055,1302687200,3681.867872
HSI,1/8/2020,27999.58008,28198.60938,27857.73047,28087.91992,28087.91992,1709241600,3651.42959
HSI,1/9/2020,28367.65039,28561,28325.85938,28561,28561,1692786200,3712.93
HSI,1/10/2020,28665.14063,28665.14063,28504.26953,28638.19922,28638.19922,1448401000,3722.965899
HSI,1/13/2020,28772.36914,28971.40039,28671.83984,28954.93945,28954.93945,1765055700,3764.142129
HSI,1/14/2020,29149.5293,29149.5293,28790.49023,28885.14063,28885.14063,1643504700,3755.068282
HSI,1/15/2020,28891.07031,28972.67969,28619.09961,28773.58984,28773.58984,1240120700,3740.566679
HSI,1/16/2020,28806.11914,28987.73047,28709.57031,28883.03906,28883.03906,1620926200,3754.795078
HSI,1/17/2020,28988.16016,29101.15039,28813.13086,29056.41992,29056.41992,1545082800,3777.33459
HSI,1/20/2020,29169.11914,29174.91992,28795.41992,28795.91016,28795.91016,1633383900,3743.468321
HSI,1/21/2020,28449.38086,28492.0293,27980.5,27985.33008,27985.33008,2236521700,3638.09291
HSI,1/22/2020,28116.5,28393.92969,27937.67969,28341.03906,28341.03906,1343288100,3684.335078
HSI,1/23/2020,28109.75,28133.0293,27706.36914,27909.11914,27909.11914,1753263000,3628.185488
HSI,1/24/2020,27935.41992,27977.63086,27774.5,27949.64063,27949.64063,612128700,3633.453282
HSI,1/29/2020,27101.53906,27333.30078,27101.53906,27160.63086,27160.63086,2203836100,3530.882012
HSI,1/30/2020,27030.60938,27134.55078,26330.05078,26449.13086,26449.13086,2223567800,3438.387012
HSI,1/31/2020,26757.60938,26818.83984,26295.49023,26312.63086,26312.63086,1874255200,3420.642012
HSI,2/3/2020,26189.60938,26512.58008,26145.58984,26356.98047,26356.98047,2421482700,3426.407461
HSI,2/4/2020,26491.66016,26730.25977,26491.66016,26675.98047,26675.98047,2500238100,3467.877461
HSI,2/5/2020,26869.32031,26926.11914,26641.91992,26786.74023,26786.74023,2498930800,3482.27623
HSI,2/6/2020,27174.5293,27608.2207,27029.49023,27493.69922,27493.69922,2249533900,3574.180899
HSI,2/7/2020,27356.2793,27410.58008,27224.11914,27404.26953,27404.26953,1464514700,3562.555039
HSI,2/10/2020,27092.15039,27314.64063,27044.88086,27241.33984,27241.33984,1612017900,3541.374179
HSI,2/11/2020,27514.25,27674.81055,27436.99023,27583.88086,27583.88086,1868625400,3585.904512
HSI,2/12/2020,27717.2207,27892.48047,27614.83008,27823.66016,27823.66016,1796561200,3617.075821
HSI,2/13/2020,27953.65039,27953.65039,27695.59961,27730,27730,1617010200,3604.9
HSI,2/14/2020,27698.56055,27960.66016,27695.58984,27815.59961,27815.59961,1445335900,3616.027949
HSI,2/17/2020,27766.71094,28055.58008,27766.71094,27959.59961,27959.59961,1412999200,3634.747949
HSI,2/18/2020,27766.5,27771.30078,27496.25,27530.19922,27530.19922,1592221400,3578.925899
HSI,2/19/2020,27486.46094,27697.46094,27448.59961,27655.81055,27655.81055,1471538100,3595.255372
HSI,2/20/2020,27767.2793,27767.2793,27383.13086,27609.16016,27609.16016,1582073100,3589.190821
HSI,2/21/2020,27450.46094,27484.5293,27264.7793,27308.81055,27308.81055,1773613400,3550.145372
HSI,2/24/2020,27105.34961,27105.34961,26813.2207,26820.88086,26820.88086,2044657000,3486.714512
HSI,2/25/2020,26722.39063,26914.05078,26667.03906,26893.23047,26893.23047,1924042900,3496.119961
HSI,2/26/2020,26479.90039,26776.06055,26479.90039,26696.49023,26696.49023,2.04E+09,3470.54373
HSI,2/27/2020,26529.16992,26849.57031,26419.9707,26778.61914,26778.61914,2110369700,3481.220488
HSI,2/28/2020,26249.06055,26313.55078,25989.41016,26129.92969,26129.92969,3191426200,3396.89086
HSI,3/2/2020,26077.73047,26375.91016,26077.73047,26291.67969,26291.67969,2201535600,3417.91836
HSI,3/3/2020,26419.13086,26527.75,26233.39063,26284.82031,26284.82031,2136295000,3417.02664
HSI,3/4/2020,26321.56055,26372.48047,26038.39063,26222.07031,26222.07031,1957062400,3408.86914
HSI,3/5/2020,26348.16016,26805.58008,26315.35938,26767.86914,26767.86914,2522843200,3479.822988
HSI,3/6/2020,26397.7793,26408.80078,26084.23047,26146.66992,26146.66992,2646519300,3399.06709
HSI,3/9/2020,25134.01953,25321.2793,24948.38086,25040.46094,25040.46094,4677892400,3255.259922
HSI,3/10/2020,25285.67969,25578.60938,24978.9707,25392.50977,25392.50977,3225661100,3301.02627
HSI,3/11/2020,25459.96094,25493.23047,25140.38086,25231.60938,25231.60938,2627625600,3280.109219
HSI,3/12/2020,24657.66992,24657.66992,24117.93945,24309.07031,24309.07031,3748928400,3160.17914
HSI,3/13/2020,22519.32031,24184.48047,22519.32031,24032.91016,24032.91016,5495155700,3124.278321
HSI,3/16/2020,23317.81055,23631.5293,22842.25,23063.57031,23063.57031,4067029300,2998.26414
HSI,3/17/2020,23001.75977,23401.19922,22676.46094,23263.73047,23263.73047,3637973700,3024.284961
HSI,3/18/2020,23023.33984,23425.0293,22167.41992,22291.82031,22291.82031,4217153600,2897.93664
HSI,3/19/2020,22221.38086,22380.33984,21139.25977,21709.13086,21709.13086,5628397600,2822.187012
HSI,3/20/2020,22147.33984,22805.07031,22147.33984,22805.07031,22805.07031,4528187900,2964.65914
HSI,3/23/2020,21696.13086,21696.13086,21696.13086,21696.13086,21696.13086,0,2820.497012
HSI,3/24/2020,22497.57031,22753.00977,22383.25,22663.49023,22663.49023,3614066700,2946.25373
HSI,3/25/2020,23255.91016,23569.44922,23062.23047,23527.18945,23527.18945,3605374900,3058.534629
HSI,3/26/2020,23604.83008,23604.83008,23163.66992,23352.33984,23352.33984,2519508100,3035.804179
HSI,3/27/2020,23768.41016,23791.19922,23354.00977,23484.2793,23484.2793,2199674300,3052.956309
HSI,3/30/2020,23020.84961,23491.50977,22973.33008,23175.10938,23175.10938,2553435900,3012.764219
HSI,3/31/2020,23613.26953,23627.5293,23238.03906,23603.48047,23603.48047,2876326600,3068.452461
HSI,4/1/2020,23365.90039,23540.00977,22947.64063,23085.78906,23085.78906,2879977600,3001.152578
HSI,4/2/2020,22838.66992,23280.06055,22756.13086,23280.06055,23280.06055,2560937400,3026.407872
HSI,4/3/2020,23072.94922,23236.10938,23030.58008,23236.10938,23236.10938,1870630600,3020.694219
HSI,4/6/2020,23558.83008,23832.92969,23271.4707,23749.11914,23749.11914,1834036600,3087.385488
HSI,4/7/2020,24093.05078,24262.00977,23796.0293,24253.28906,24253.28906,2535034600,3152.927578
HSI,4/8/2020,24191.32031,24191.32031,23897.40039,23970.36914,23970.36914,1840854100,3116.147988
HSI,4/9/2020,24181.32031,24308.68945,24045.17969,24300.33008,24300.33008,1725334600,3159.04291
HSI,4/14/2020,24347.60938,24546.39063,24283.13086,24435.40039,24435.40039,2050447800,3176.602051
HSI,4/15/2020,24499.85938,24603.59961,24090.5,24145.33984,24145.33984,1906625200,3138.894179
HSI,4/16/2020,24025.44922,24102.91016,23854.78906,24006.44922,24006.44922,1865473400,3120.838399
HSI,4/17/2020,24457.83008,24666.64063,24308.7793,24380,24380,1937579000,3169.4
HSI,4/20/2020,24503.56055,24503.56055,24225.55078,24330.01953,24330.01953,1375091600,3162.902539
HSI,4/21/2020,24247.83984,24247.83984,23676.13086,23793.55078,23793.55078,2160661700,3093.161601
HSI,4/22/2020,23540.53906,23939.28906,23483.31055,23893.35938,23893.35938,1668362400,3106.136719
HSI,4/23/2020,23983.65039,24107.88086,23806.30078,23977.32031,23977.32031,1814344800,3117.05164
HSI,4/24/2020,23844.55078,23957.16992,23730.49023,23831.33008,23831.33008,1301664900,3098.07291
HSI,4/27/2020,24030.66016,24318.81055,24030.53906,24280.14063,24280.14063,1592713000,3156.418282
HSI,4/28/2020,24401.11914,24582.66016,24176.88086,24575.96094,24575.96094,1687557300,3194.874922
HSI,4/29/2020,24786.01953,24855.4707,24549.61914,24643.58984,24643.58984,1648009000,3203.666679
HSI,5/4/2020,23895.10938,23897.5293,23584.94922,23613.80078,23613.80078,2556774000,3069.794101
HSI,5/5/2020,23755.76953,23928.44922,23697.88086,23868.66016,23868.66016,1332967300,3102.925821
HSI,5/6/2020,23868.01953,24235.0293,23868.01953,24137.48047,24137.48047,1.89E+09,3137.872461
HSI,5/7/2020,24120.81055,24120.81055,23913.5,23980.63086,23980.63086,1317060000,3117.482012
HSI,5/8/2020,24193.35938,24263.73047,24097.11914,24230.16992,24230.16992,1274113200,3149.92209
HSI,5/11/2020,24470.17969,24766.83008,24470.17969,24602.06055,24602.06055,1458200000,3198.267872
HSI,5/12/2020,24358,24411.03906,24136.19922,24245.67969,24245.67969,1479628600,3151.93836
HSI,5/13/2020,24111.66992,24320.19922,23979.36914,24180.30078,24180.30078,1359038500,3143.439101
HSI,5/14/2020,24038.07031,24081.18945,23790.26953,23829.74023,23829.74023,1697720800,3097.86623
HSI,5/15/2020,23834.67969,23985.11914,23671.60938,23797.4707,23797.4707,1509478600,3093.671191
HSI,5/18/2020,23736.66992,23952.05078,23722.16992,23934.76953,23934.76953,1645114700,3111.520039
HSI,5/19/2020,24489.55078,24552.55078,24314.44922,24388.13086,24388.13086,2022987500,3170.457012
HSI,5/20/2020,24462.90039,24514.86914,24315.75,24399.94922,24399.94922,1432021300,3171.993399
HSI,5/21/2020,24528.91016,24528.91016,24208.16016,24280.0293,24280.0293,1474345000,3156.403809
HSI,5/22/2020,23756.91016,23756.91016,22878.25977,22930.14063,22930.14063,3680989100,2980.918282
HSI,5/25/2020,22725.69922,22968.65039,22519.73047,22952.24023,22952.24023,1769029000,2983.79123
HSI,5/26/2020,23198.33984,23481.48047,23165.49023,23384.66016,23384.66016,1421148200,3040.005821
HSI,5/27/2020,23515.14063,23515.14063,23134.60938,23301.35938,23301.35938,1837146100,3029.176719
HSI,5/28/2020,23206.75,23451.7793,22779.61914,23132.75977,23132.75977,2356792600,3007.25877
HSI,5/29/2020,22781.10938,23089.76953,22781.10938,22961.4707,22961.4707,3621412000,2984.991191
HSI,6/1/2020,23539.91016,23806.32031,23539.91016,23732.51953,23732.51953,2569148800,3085.227539
HSI,6/2/2020,23792.24023,23995.93945,23766.15039,23995.93945,23995.93945,1813293900,3119.472129
HSI,6/3/2020,24303.56055,24364.00977,24219.96094,24325.61914,24325.61914,2455118300,3162.330488
HSI,6/4/2020,24643.83984,24643.83984,24204.09961,24366.30078,24366.30078,1888873500,3167.619101
HSI,6/5/2020,24388.17969,24810.2207,24253.56055,24770.41016,24770.41016,2397618300,3220.153321
HSI,6/8/2020,25018.05078,25018.7793,24678.55078,24776.76953,24776.76953,2123439500,3220.980039
HSI,6/9/2020,24906.00977,25253.66992,24837.73047,25057.2207,25057.2207,2203396500,3257.438691
HSI,6/10/2020,25179.0293,25303.7793,24968.30078,25049.73047,25049.73047,1971349200,3256.464961
HSI,6/11/2020,24997.83984,25059.32031,24480.15039,24480.15039,24480.15039,1838958200,3182.419551
HSI,6/12/2020,23920.69922,24317.7207,23895.0293,24301.38086,24301.38086,1824519600,3159.179512
HSI,6/15/2020,23991.38086,24242.9707,23684.96094,23776.94922,23776.94922,2104538300,3091.003399
HSI,6/16/2020,24318.15039,24534.76953,24302.25,24344.08984,24344.08984,1611589900,3164.731679
HSI,6/17/2020,24363.39063,24532.00977,24195.82031,24481.41016,24481.41016,1278279300,3182.583321
HSI,6/18/2020,24386.31055,24464.93945,24121.89063,24464.93945,24464.93945,1811327100,3180.442129
HSI,6/19/2020,24373.35938,24776.53906,24334.35938,24643.89063,24643.89063,2390285700,3203.705782
HSI,6/22/2020,24528.5293,24628.94922,24391.16992,24511.33984,24511.33984,1612294200,3186.474179
HSI,6/23/2020,24541.43945,24907.33984,24184.88086,24907.33984,24907.33984,1549053700,3237.954179
HSI,6/24/2020,25034.86914,25071.32031,24770.94922,24781.58008,24781.58008,1431913700,3221.60541
HSI,6/26/2020,24697.98047,24756.58008,24537.76953,24549.99023,24549.99023,1509260100,3191.49873
HSI,6/29/2020,24627.64063,24627.64063,24148.61914,24301.2793,24301.2793,1835855400,3159.166309
HSI,6/30/2020,24468.24023,24598.60938,24271.76953,24427.18945,24427.18945,1892323300,3175.534629
HSI,7/2/2020,24563.57031,25124.18945,24563.57031,25124.18945,25124.18945,2746546400,3266.144629
HSI,7/3/2020,25319.2793,25453.58008,25182.59961,25373.11914,25373.11914,2320568900,3298.505488
HSI,7/6/2020,25545.53906,26453.60938,25543.15039,26339.16016,26339.16016,4883381900,3424.090821
HSI,7/7/2020,26571.08008,26782.61914,25911.74023,25975.66016,25975.66016,3913840700,3376.835821
HSI,7/8/2020,26078.60938,26299.83984,25849.7793,26129.17969,26129.17969,2582679500,3396.79336
HSI,7/9/2020,26351.13086,26374.93945,26016.75,26210.16016,26210.16016,2452681700,3407.320821
HSI,7/10/2020,25931.7793,26137.91016,25570.35938,25727.41016,25727.41016,2142150800,3344.563321
HSI,7/13/2020,25848.80078,26103.83984,25715.24023,25772.11914,25772.11914,2127288800,3350.375488
HSI,7/14/2020,25663.16016,25663.16016,25254.32031,25477.89063,25477.89063,2180279200,3312.125782
HSI,7/15/2020,25888.7793,25888.7793,25299.35938,25481.58008,25481.58008,1849317300,3312.60541
HSI,7/16/2020,25549.40039,25576.49023,24919.94922,24970.68945,24970.68945,1935051700,3246.189629
HSI,7/17/2020,25142.06055,25263.9707,25015.2793,25089.16992,25089.16992,1362500400,3261.59209
HSI,7/20/2020,25019.59961,25222.10938,24766.16992,25057.99023,25057.99023,1650620500,3257.53873
HSI,7/21/2020,25427.06055,25635.66016,25378.38086,25635.66016,25635.66016,1752171900,3332.635821
HSI,7/22/2020,25575.25,25779.66016,25057.93945,25057.93945,25057.93945,2390051200,3257.532129
HSI,7/23/2020,25235.90039,25346.35938,24992.36914,25263,25263,1.91E+09,3284.19
HSI,7/24/2020,25040.75977,25101.09961,24598.46094,24705.33008,24705.33008,3029706400,3211.69291
HSI,7/27/2020,24909.96094,24972.46094,24526.91016,24603.25977,24603.25977,1491211000,3198.42377
HSI,7/28/2020,24942.74023,24942.74023,24642.34961,24772.75977,24772.75977,1358418200,3220.45877
HSI,7/29/2020,24710.50977,24905.43945,24671.50977,24883.14063,24883.14063,1080335100,3234.808282
HSI,7/30/2020,24979.24023,25197.31055,24616.05078,24710.58984,24710.58984,1779681900,3212.376679
HSI,7/31/2020,24747.28906,24938.84961,24534.78906,24595.34961,24595.34961,1763233900,3197.395449
HSI,8/3/2020,24566.81055,24647.2793,24250.98047,24458.13086,24458.13086,2012723100,3179.557012
HSI,8/4/2020,24664.59961,25062.41016,24539.43945,24946.63086,24946.63086,1906615900,3243.062012
HSI,8/5/2020,25029.39063,25167.2207,24868.28906,25102.53906,25102.53906,1477936300,3263.330078
HSI,8/6/2020,25201.43945,25201.43945,24641.08984,24930.58008,24930.58008,1596206100,3240.97541
HSI,8/7/2020,24909.36914,24909.36914,24167.78906,24531.61914,24531.61914,1610164700,3189.110488
HSI,8/10/2020,24376.82031,24536.00977,24272.66992,24377.42969,24377.42969,1256444100,3169.06586
HSI,8/11/2020,24662.03906,25031.57031,24662.03906,24890.67969,24890.67969,1628363900,3235.78836
HSI,8/12/2020,24868.63086,25291.80078,24685.43945,25244.01953,25244.01953,1763950100,3281.722539
HSI,8/13/2020,25490.01953,25490.01953,25144.46094,25230.66992,25230.66992,1761196500,3279.98709
HSI,8/14/2020,25072.44922,25378.5293,25040.55078,25183.00977,25183.00977,1429766800,3273.79127
HSI,8/17/2020,25212.2793,25588.66992,25163.28906,25347.33984,25347.33984,1955689100,3295.154179
HSI,8/18/2020,25470.9707,25470.9707,25257.88086,25367.38086,25367.38086,1534776000,3297.759512
HSI,8/19/2020,25359.0293,25382.50977,25079.25,25178.91016,25178.91016,1132238600,3273.258321
HSI,8/20/2020,25055.34961,25055.34961,24621.32031,24791.39063,24791.39063,1995701500,3222.880782
HSI,8/21/2020,25007.13086,25178.78906,24885.85938,25113.83984,25113.83984,1210267900,3264.799179
HSI,8/24/2020,25352.78906,25551.58008,25325.15039,25551.58008,25551.58008,1352263800,3321.70541
HSI,8/25/2020,25586.99023,25621.08008,25352.25977,25486.2207,25486.2207,1350837400,3313.208691
HSI,8/26/2020,25520.41016,25603.16992,25360.0293,25491.78906,25491.78906,1319876200,3313.932578
HSI,8/27/2020,25469.76953,25469.76953,25186.41992,25281.15039,25281.15039,1701268300,3286.549551
HSI,8/28/2020,25330.76953,25749.40039,25258.16016,25422.06055,25422.06055,2065272600,3304.867872
HSI,8/31/2020,25732.49023,25847.10938,25177.05078,25177.05078,25177.05078,3195378200,3273.016601
HSI,9/1/2020,25085.66992,25254.14063,24995.44922,25184.84961,25184.84961,1729452000,3274.030449
HSI,9/2/2020,25239.85938,25239.85938,24931.16992,25120.08984,25120.08984,2349955800,3265.611679
HSI,9/3/2020,25026.99023,25216.01953,24854.58008,25007.59961,25007.59961,2007341100,3250.987949
HSI,9/4/2020,24668.80078,24813.96094,24488.64063,24695.44922,24695.44922,3393745100,3210.408399
HSI,9/7/2020,24621.01953,24908.28906,24475.60938,24589.65039,24589.65039,1682872900,3196.654551
HSI,9/8/2020,24785.25977,24785.25977,24341.32031,24624.33984,24624.33984,2074591000,3201.164179
HSI,9/9/2020,24295.41992,24520.91992,24213.35938,24468.92969,24468.92969,1749348400,3180.96086
HSI,9/10/2020,24584.93945,24615.59961,24293.21094,24313.53906,24313.53906,1349478000,3160.760078
HSI,9/11/2020,24352.63086,24572.66016,24293.0293,24503.31055,24503.31055,1306598900,3185.430372
HSI,9/14/2020,24569.0293,24750.94922,24556.51953,24640.2793,24640.2793,1091380700,3203.236309
HSI,9/15/2020,24621.65039,24826.86914,24621.65039,24732.75977,24732.75977,1733769600,3215.25877
HSI,9/16/2020,24823.96094,24829.86914,24635.24023,24725.63086,24725.63086,1303202100,3214.332012
HSI,9/17/2020,24676.41016,24713.78906,24250.90039,24340.84961,24340.84961,1630900300,3164.310449
HSI,9/18/2020,24381.13086,24501.16016,24295.00977,24455.41016,24455.41016,2301812900,3179.203321
HSI,9/21/2020,24483.91016,24542.55078,23928.01953,23950.68945,23950.68945,1602081500,3113.589629
HSI,9/22/2020,23839.66992,23908.50977,23675.61914,23716.84961,23716.84961,1553227700,3083.190449
HSI,9/23/2020,23701.11914,23795.18945,23559.99023,23742.50977,23742.50977,1642933400,3086.52627
HSI,9/24/2020,23537.83008,23590.41992,23225.33008,23311.07031,23311.07031,1913657500,3030.43914
HSI,9/25/2020,23425.75,23495.25977,23124.25,23235.41992,23235.41992,1794075400,3020.60459
HSI,9/28/2020,23284.08984,23523.81055,23250.33984,23476.05078,23476.05078,1446839400,3051.886601
HSI,9/29/2020,23584.60938,23601.40039,23256.91992,23275.5293,23275.5293,1526746600,3025.818809
HSI,9/30/2020,23548.89063,23780.86914,23368.49023,23459.05078,23459.05078,1453016000,3049.676601
HSI,10/5/2020,24039.39063,24039.39063,23674.51953,23767.7793,23767.7793,1420427500,3089.811309
HSI,10/6/2020,23895.21094,24005.0293,23842.25,23980.65039,23980.65039,1325452200,3117.484551
HSI,10/7/2020,23999.78906,24243.91016,23905.41992,24242.85938,24242.85938,1537076100,3151.571719
HSI,10/8/2020,24263.33008,24263.33008,24021.92969,24193.34961,24193.34961,1182030300,3145.135449
HSI,10/9/2020,24343.81055,24343.81055,24059.28906,24119.13086,24119.13086,1358969500,3135.487012
HSI,10/12/2020,24217.25,24702.81055,24196.80078,24649.67969,24649.67969,2430403500,3204.45836
HSI,10/14/2020,24808.84961,24808.84961,24498.93945,24667.08984,24667.08984,2550042800,3206.721679
HSI,10/15/2020,24533.75,24573.25,24102.21094,24158.53906,24158.53906,2134202800,3140.610078
HSI,10/16/2020,24194.41016,24456.9707,24194.41016,24386.78906,24386.78906,2697525100,3170.282578
HSI,10/19/2020,24565.42969,24771.84961,24478.4707,24542.25977,24542.25977,3605537600,3190.49377
HSI,10/20/2020,24571.64063,24600.39063,24456.83984,24569.53906,24569.53906,1879052000,3194.040078
HSI,10/21/2020,24695.53906,24903,24653.16016,24754.41992,24754.41992,1929447200,3218.07459
HSI,10/22/2020,24696.31055,24817.00977,24556.55078,24786.13086,24786.13086,2486871200,3222.197012
HSI,10/23/2020,24773.11914,24970.58984,24683.25,24918.7793,24918.7793,2368156700,3239.441309
HSI,10/27/2020,24839.9707,24872.51953,24602.10938,24787.18945,24787.18945,2435164600,3222.334629
HSI,10/28/2020,24773.53906,24844.78906,24586.06055,24708.80078,24708.80078,2011940400,3212.144101
